연도,수도권,충청권,대경권,호남권,동남권,전국
1997,1929394,147843,185059,109736,237224,2609256
1998,2269241,181356,230457,133389,347431,3161875
1999,2801165,236810,291010,174295,476881,3980161
2000,3010414,279203,351369,233771,522258,4397015
2001,3009682,301265,360192,246245,564871,4482256
2002,3333091,350884,406946,283489,635391,5009800
2003,3458338,385289,443477,308373,693105,5288583
2004,3668730,428935,484481,339526,762159,5683832
2005,3943320,509234,507513,389809,849721,6199597
2006,3568965,510221,470853,388750,801418,5740208
2007,3913410,578506,517092,449971,925609,6384588
2008,3666910,546495,521317,415872,893108,6043702
2009,4054418,693971,601032,507433,1106534,6963388
2010,4179021,769497,655982,550748,1235487,7390735
2011,4160976,844318,673253,569301,1352082,7599931
2012,4297706,943576,717767,599970,1540607,8099624
2013,3683878,863322,662548,577811,1362831,7150390
2014,3812425,819344,677889,592445,1197533,7099635
2015,3731016,820165,667609,589987,1162931,6971708
2016,3741087,837774,684755,609818,1241676,7115110
2017,4341214,975981,776000,698034,1525932,8317160
2018,3982843,960978,726486,673160,1383957,7727425
2019,3613238,925391,711515,652418,1270367,7172929
2020,4029512,1021392,782299,724585,1478970,8036758
2021,4194953,1054276,800179,764048,1412425,8225882
2022,4084443,1031430,771699,750944,1322653,7961168
2023,3866424,951030,744948,708446,1358561,7629411
